docName	sentence
Absolute_zero	This is because the efficiency ( percent of energy the engine uses up that is actually used to do the engine 's job ) is 100 % × ( 1-Toutside\/Tinside ) , which only is 100 % if the outside temperature is absolute zero which it ca n't be .
Absolute_zero	So , an engine ca n't be 100 % efficient , but you can make its efficiency closer to 100 % by making the inside temperature hotter and\/or the outside temperature colder .
Accent	For other uses , see Accent ( disambiguation ) .
Accent	An accent is the way a person speaks .
Accent	Sometimes people will talk about someone 's accent .
Accent	They might say that the person has a German accent , or an Australian accent .
Accent	An accent is the way words are said .
Accent	The way a person says words usually comes from where he or she was a child , and other people where he or she lives .
Accent	People learn how to say words and sentences so that they sound the same as when others speak .
Accent	People speaking the same language can have different accents .
Accent	Even people in the same country can have different accents .
Accent	Sometimes people can tell what city someone lived in when as a child , by the way that person speaks .
Accent	( e.g. a New York City accent ) When first trying to learn a new language , often a person will still have his or her old accent .
Accent	People may be able to guess what country or place that person lived in before .
Accent	If someone can learn another language well enough , he or she may not have the old accent anymore .
Accent	These people may get a new accent in the new language .
Accent	If someone studied German in Austria , people in Germany may think that person was Austrian .
Angers	Angers is a city in the west of France .
Angers	Around 160,000 inhabitants live inside the city and 300,000 live in the metropolitan area .
Angers	It is the capital of the historical province called Anjou .
Angers	Nowadays , the name of Anjou is Maine-et-Loire .
Angers	The inhabitants of Angers and of Anjou are called ` angevins ' .
Angers	The city existed before the Roman Empire .
Angers	After the Roman conquest , the city was called Juliomagus .
Angers	Angers was an important french city during the Middle-Ages .
Angers	There is one of the bigger castles of Europe in the city .
Angers	It is now the 16th city of France ( for its population ) .
Angers	It is an economic center , a touristic and cultural town .
Angers	Many festivals happen every year in the city ( film festival ` Premiers plans ' , street festivals ` Tours de scène ' and the famous ` Accroches-coeurs ' ) .
Angers	It has many museums .
Angers	The museum of Beaux-Arts ( a famous Art museum ) and `` Apocalypse Tapestry '' ( the oldest and largest collection of medieval tapestries in the world ) are very famous .
Angers	There are two universities .
Angers	More than 17,000 students go to the ` Université d'Angers ' ( a state university ) and 12,000 go to the ` Université Catholique de l'Ouest ' ( a private catholic university ) .
Angers	The ` Ecole Superieure des Sciences Commerciales d'Angers ' is one of the most prestigious business school in France .
Angers	Angers is twinned with : Haarlem , Netherlands , since 1964 .
Angers	Osnabrück , Germany , since 1964 .
Angers	Bamako , Mali , since 1974 .
Angers	Pisa , Italy , since 1982 .
Angers	Wigan , United Kingdom , since 1988 .
Angers	Södertälje , Sweden , since 1998 .
Angers	Seville , Spain , since 2000 .
Angers	Yantai , China , since 2006 .
Actor	An actor is a person who acts , or has a role ( a part ) in a movie , television show , play , or radio show .
Actor	Sometimes actors only sing or dance , or sometimes they only work on radio .
Actor	A woman actor is also an actress , but today most people use the word `` actor '' for both men and women .
Actor	The first time we know an actor worked was in 534 B.C. , probably on November 23rd .
Actor	The changes in calendar over the years make it hard to say exactly when the Greek actor Thespis became the first person to speak words as a character in a play at the Theatre Dionysus .
Actor	This was a big change in storytelling .
Actor	Before then , people sang and danced stories , but no-one had been a person in the story .
Actor	Today we call actors `` thespians '' because of Thespis .
Actor	In the past , the name `` actor '' was only for men .
Actor	Women only began performing often in the 17th century .
Actor	When they began , people called them the `` actresses '' .
Actor	In the ancient world and in the Middle Ages , people thought it was bad ( shameful ) for a woman to act .
Actor	People thought this until the 17th century .
Actor	In the time of William Shakespeare , men and boys played women 's roles , but we think perhaps women also acted secretly .
Actor	Today , the name `` actor '' is for both men and women , because some people think the name `` actress '' is sexist .
Actor	But people also use the name actress very often .
Actor	Women actors sometimes act the roles of young boys , because in some ways a woman is more similar to a boy than a man is .
Actor	A woman usually plays the role of Peter Pan , for example .
Actor	In pantomime , a sort of play for children ( not the same as mime ) , the most important young man is also a woman .
Actor	Opera has some ` pants roles ' which women traditionally sing , usually mezzo-sopranos .
Actor	Examples are Hansel in Hansel und Gretel , and Cherubino in The Marriage of Figaro .
Actor	Mary Pickford played the part of `` Little Lord Fauntleroy '' in the first film version of the book .
Actor	Linda Hunt won an Academy Award for Best Supporting Actress in The Year of Living Dangerously , in which she played the part of a man .
Actor	In comic theater and film , people often use a man for a woman 's part , or a woman for a man 's part - this has a long history .
Actor	Most of Shakespeare 's comedies have examples of this .
Actor	Both Dustin Hoffman and Robin Williams were in popular comedy films where they played most scenes as men in women 's clothes , pretending to be women .
Actor	Voice acting is a special type of acting .
Actor	It is most commonly used in animation for both television and movies .
Actor	Voice actors are the people who make the voices for the characters .
Actor	They may also create the voices used for narration in non-animated works .
Azuki_bean	The azuki bean is a type of reddish-brown colored bean .
Azuki_bean	It can also be spelled adzuki .
Azuki_bean	The bean is grown in East Asia and the Himalayas .
Azuki_bean	It is often boiled in sugar to make a red bean paste .
Azuki_bean	This paste is used in Chinese , Korean , and Japanese cooking .
Azuki_bean	Azuki beans are eaten in many places in the world .
Azuki_bean	Especially , azuki beans are used in sweet meals , snacks and dishes in Japan , China , Korea and Vietnam .
Azuki_bean	Azuki beans have a long and varied history and there are many recipes .
Azuki_bean	Azuki beans are very famous red beans in Japan .
Azuki_bean	Excavations of Jomon period archaeological sites suggest that people have been eating Azuki beans since the Jomon period .
Azuki_bean	And Azuki seeds were discovered from excavations of Jomon period .
Azuki_bean	At that time , Azuki beans were called `` shozu '' .
Azuki_bean	Azuki beans have been grown since the Yayoi period .
Azuki_bean	The first time the word `` Azuki '' was used was in the book `` Koziki '' .
Azuki_bean	Old Japanese said `` Aka '' for red .
Azuki_bean	And Azuki beans were called `` zuki '' because Azuki beans get soft when they are boiled .
Azuki_bean	`` Aka '' plus `` zuki '' is `` Azuki '' and this is the origin of Azuki bean 's name .
Azuki_bean	Another Azuki beans has many origins .
Azuki_bean	Azuki beans are red , so many old people believed Azuki beans were a good luck charm .
Azuki_bean	Azuki beans were used in many events and ceremonies in Japan , China and Korea .
Azuki_bean	In the Edo period , people made rice mixed with Azuki beans .
Azuki_bean	This was called `` Sekihan '' and many people gave sekihan at ceremonies .
Azuki_bean	Azuki beans were used as medicine , because Azuki beans are nutritious .
Azuki_bean	Now many people eat sekihan when there are ceremonies in Japan .
Azuki_bean	In addition Azuki beans are used in many Japanese cakes , Many sweets use Azuki raw materials for the taste and color .
Azuki_bean	So Azuki beans are closely related to Japanese life from ancient times .
Azuki_bean	Azuki beans make bean jam .
Azuki_bean	A sweet porridge of boiled and crushed azuki beans are eaten with rice-flour dumplings .
Azuki_bean	Oval-shaped sweets are made from glutinous rice and covered with azuki bean .
Azuki_bean	Bean-jam pancakes and bean-jam filled buns are also popular snacks .
Azuki_bean	Azuki beans are also used in pillows and beanbags .
Azuki_bean	First , azuki beans are boiled until the azuki skin stretches .
Azuki_bean	The azuki beans are put in the perforated basket .
Azuki_bean	Next , the azuki are boiled again for a short time to remove harshness .
Azuki_bean	The azuki are put into perforated basket to drain .
Azuki_bean	After , a pan is prepared .
Azuki_bean	The azuki are put in the pan .
Azuki_bean	A lid is put on the pan .
Azuki_bean	The azuki beans are steamed and the heat is turned off .
Azuki_bean	The azuki bean mash is dried on cloth .
Azuki_bean	The azuki are taken out of the pan which is hot from flame .
Azuki_bean	Sugar is added .
Azuki_bean	The sugar and azuki is mixed and the water of azuki is left , if the azuki falls down a large spoon dripping , the heat is turned off .
Azuki_bean	Finally , the azuki is cooled .
Azuki_bean	When the azuki is cold , it is finished .
Azuki_bean	Azuki bean jam is used in many foods .
Azuki_bean	For example , a fish-shaped waffle is filled with azuki bean jam .
Azuki_bean	Azuki bean jam foods are famous in Japan , and they are eaten by many Japanese .
Atrax	Spiders of the genus Atrax have very strong venom .
Atrax	They aggressively defend their territory and chase off attackers who may scare them by making a threat display .
Atrax	Next they will bite .
Atrax	The fastest death occurred in 1927 when a young boy died within fifteen minutes of being bitten .
Atrax	Thirteen deaths were recorded in the fifty years before antivenom was invented for this spider 's bite .
Atrax	In English they are sometimes called Sydney Funnel Web spiders because they come from around that part of Australia .
Atrax	References .
Atrax	By Nancy Cushing and Kevin Markwell .
Alchemy	Alchemy is a study of the basic elements called fire , water , earth and air .
Alchemy	It is the study of transmutation .
Alchemy	It was first studied to learn how to change lead into gold .
Alchemy	It is similar to chemistry , but much older .
Alchemy	People who studied alchemy were called alchemists .
Alchemy	Alchemists in the Middle Ages often tried to make gold using things that were not gold .
Alchemy	They also tried to make the Elixir of Life ( which would give the gift of immortality ) .
Alchemy	Many times alchemists would use stories and legends to try to veil ( cover up ) how to make gold .
Alchemy	The psychologist Carl Gustav Jung was interested in this as well but in relation to the soul of man .
Alchemy	Alchemists are objective ( they deal with external existence ) while psychologists are subjective ( they deal with the inner life of man ) .
Alchemy	Alchemists deal with the First Matter ( a substance that makes transmutation easy ) while Psychology deals with the mind .
Alchemy	A famous saying in Alchemy : `` As above , so below '' veils the relationship existing between Alchemy and Psychology .
Alchemy	Alchemy is not a science any more .
Alchemy	Some things that the alchemists learned about were important for other sciences , like chemistry .
Alchemy	In 1980 , an American scientist named Glenn Seaborg actually changed a very tiny amount of bismuth into gold with a nuclear reactor .
Alchemy	But it cost much more to transform the energy to do this than the tiny amount of gold was worth .
Alchemy	This is the closest a scientist has come to discover the Philosopher 's Stone of the ancient Alchemists .
Alchemy	The Philosopher 's Stone is the means ( way ) Alchemists use to achieve ( to succeed in ) transmutation .
Alchemy	Alchemy was an important science because it helped create many other sciences that came after it , for example , Chemistry , Physics , Biology , and astronomy .
Alchemy	Alchemists not only tried to create gold but they also looked for self-purification ( to separate the pure from the impure with great care ) and enlightenment .
African_elephant	African elephants are the two species of elephants in the genus Loxodonta , one of the two existing genera in Elephantidae .
African_elephant	Although it is commonly believed that the genus was named by Georges Cuvier in 1825 , Cuvier spelled it Loxodonte .
African_elephant	An anonymous author romanized the spelling to Loxodonta and the ICZN recognizes this as the proper authority .
African_elephant	Fossil Loxodonta have only been found in Africa , where they developed in the middle Pliocene .
African_elephant	Males stand 3.64 meters ( 12 feet ) tall at the shoulder and weigh 5455 kg ( 12,000 lbs ) , while females stand 3 meters ( 10 feet ) and weigh 3636 kg to 4545 kg ( 8,000 to 10,000 lbs ) .
African_elephant	The largest bulls will weigh 24,000 pounds ( 12 tons ) and stand a little over ( 13 feet ) at the shoulder .
African_elephant	Elephants have four molars , each weighs about 11 lbs and measures about 12 inches long .
African_elephant	The front pair wear down and drop out in pieces as the Two new molars emerge in the back of the mouth and the old molars shift forward .
African_elephant	to replace those that dropped out .
African_elephant	Elephants replace their teeth six times .
African_elephant	At about 40 to 60 years of age the elephant no longer has teeth and will likely die of starvation , a common cause of death .
African_elephant	Their tusks are teeth , the second set of incisors become the tusks .
African_elephant	They are used for digging for roots and stripping the bark off trees for food , and , fighting each other during mating season , or defending themselves against predators .
African_elephant	They weigh from 50-100 pounds and can be from can be from 5 to 8 feet long .
African_elephant	Both bulls and cows have tusks .
African_elephant	.
African_elephant	Loxodonta adaurora , extinct , presumed antecedent of the modern African elephants .
African_elephant	African Bush Elephant ( Loxodonta africana ) .
African_elephant	African Forest Elephant ( Loxodonta cyclotis ) .
African_elephant	Bush and Forest Elephants were formerly considered subspecies of the same species Loxodonta africana .
African_elephant	However , they are nowadays generally considered to be two distinct species .
African_elephant	The African Forest Elephant has a longer and narrower mandible , rounder ears , a different number of toenails , straighter and downward tusks , and considerably smaller size .
African_elephant	With regard to the number of toenails : the African Bush Elephant normally has 4 toenails on the front foot and 3 on the hind foot , the African Forest Elephant normally has 5 toenails on the front foot and 4 on the hind foot ( like the Asian elephant ) , but hybrids between the two species commonly occur .
African_elephant	Poaching significantly reduced the population of Loxodonta in certain regions during the 20th century .
African_elephant	An example of this poaching pressure is in the eastern region of Chad-elephant herds there were substantial as recently as 1970 , with an estimated population of 400,000 ; however , by 2006 the number had dwindled to about 10,000 .
African_elephant	The African elephant nominally has governmental protection , but poaching is still a serious issue .
African_elephant	Human encroachment into or adjacent to natural areas where bush elephants occur has led to recent research into methods of safely driving groups of elephants away from humans , including the discovery that playback of the recorded sounds of angry honey bees are remarkably effective at prompting elephants to flee an area .
African_elephant	Some elephant communities have grown so large , in Africa , that some communities have resulted to culling large amounts to help sustain the ecosystem .
African_elephant	All in all African elephants are some of the smartest land animales in the world .
Arovell_Verlag	Arovell Verlag is an Austrian publishing house for modern literature .
Arovell_Verlag	It has been founded in 1991 by the Austrian writer , artist and musician Paul Jaeg .
Arovell_Verlag	Today , Jaeg is still the director .
Arovell_Verlag	Each year , Arovell prints between ten and twenty new books .
Arovell_Verlag	Some authors , such as Peter Paul Wiplinger , have already published several books with Arovell , but others use Arovell to publish their first book ( s ) .
Arovell_Verlag	Arovell publishes modern literature in the German language .
Arovell_Verlag	They include short prose , stories and poetry .
Arovell_Verlag	The covers of all books show a painting by Paul Jaeg .
Arovell_Verlag	Arovell also publishes a magazine about literature , music and art , which gives information about new books and public events .
Arovell_Verlag	The magazine prints sometimes short texts from the books by Arovell .
Arovell_Verlag	The publisher organizes literary , musical and artistic events , especially in Upper Austria and Salzburg , but also in Vienna .
Arovell_Verlag	Arovell 's headquarter is in Gosau in Upper Austria and has branch offices in Vienna and Salzburg .
Adrian_Lowe	Adrian Lowe is an Australian athlete with a disability .
Adrian_Lowe	He competes in a wheelchair .
Adrian_Lowe	At the 1988 Summer Paralympics , He won two gold medals in the Men 's 4x100 m Relay A2A4-7 and the Men 's 4x400 m Relay A2A4-7 races , and three silver medals in the Men 's 100 m A4A9 , Men 's 200 m A4A9 , and the Men 's 400 m A4A9 races .
Anniston,_Alabama	Anniston is a city in , and county seat of , Calhoun County in the state of Alabama , United States .
Anniston,_Alabama	As of the 2000 census , the population of the city is 24,276 .
Anniston,_Alabama	According to the 2005 U.S. Census estimates , the city had a population of 23,741 .
Anniston,_Alabama	In 2002 , an investigation by 60 minutes showed Anniston was among the most toxic cities in the country .
Anniston,_Alabama	The main source of local contamination was a Monsanto chemical factory , which was closed .
Arsenic_triiodide	Arsenic triiodide is a chemical compound .
Arsenic_triiodide	Its chemical formula is AsI3 .
Arsenic_triiodide	It has arsenic and iodide ions in it .
Arsenic_triiodide	The arsenic is in its +3 oxidation state .
Arsenic_triiodide	Arsenic triiodide is a orange-red solid .
Arsenic_triiodide	It easily sublimes .
Arsenic_triiodide	It dissolves in water and reacts very slowly to make arsenious acid and hydroiodic acid .
Arsenic_triiodide	The solution is very acidic .
Arsenic_triiodide	It breaks down when heated to make arsenic trioxide , arsenic metal , and iodine .
Arsenic_triiodide	It is a weak reducing agent .
Arsenic_triiodide	It is made by reacting sodium or potassium iodide with arsenic trichloride .
Arsenic_triiodide	As `` Donovan 's solution '' it was said to treat many diseases which it did not treat .
Alex_Chernov	Alex Chernov AC QC ( born 12 May 1938 ) is the Governor of Victoria .
Alex_Chernov	Chernov was born in Lithuania to Russian parents , and moved with his family to Salzburg , Austria where he started school .
Alex_Chernov	In 1949 his family moved to Australia and he completed his schooling at Melbourne High School .
Alex_Chernov	He studied commerce ( business ) and law at the University of Melbourne during the 1960 's .
Alex_Chernov	Chernov became a barrister in 1968 , practising mostly in commercial law and equity .
Alex_Chernov	He was made a Queen 's Counsel in 1980 .
Alex_Chernov	He was Chairman of the Victorian Bar 1985-86 , Vice-President of the Australian Bar Association 1986-87 and President of the Law Council of Australia 1990-91 .
Alex_Chernov	He was Vice President of LawAsia 1995-1997 .
Alex_Chernov	He wrote a book with Robert Brooking AO , Tenancy Law and Practice : Victoria ( 1972 ) and edited the second edition ( 1980 ) .
Alex_Chernov	In May 1997 he was appointed to the Trial Division of the Supreme Court of Victoria , and in October 1998 to the Court of Appeal .
Alex_Chernov	He retired in February 2008 .
Alex_Chernov	He was elected the 20th Chancellor of the University of Melbourne in January 2009 , serving in that office until he resigned to become Governor of Victoria .
Alex_Chernov	On 21 February 2011 , it was announced that he would become the 28th Governor of Victoria .
Alex_Chernov	He took officee on 8 April 2011 .
Alex_Chernov	Chernov is married with three children .
Alex_Chernov	Chernov was appointed Queen 's Counsel in and for the State of Victoria in 1980 .
Alex_Chernov	Chernov was created an Officer of the Order of Australia in the 2007 Queen 's Birthday Honours list for service to the law and education .
Alex_Chernov	On 26 January 2011 , Chernov was named a Companion of the Order of Australia .
Aldeburgh_Festival	The Aldeburgh Festival is an English arts festival where classical music concerts take place during the summer .
Aldeburgh_Festival	Aldeburgh is in Suffolk in the south-east of England .
Aldeburgh_Festival	It is where the composer Benjamin Britten lived with his friend the tenor Peter Pears .
Aldeburgh_Festival	A lot of Britten 's music is played at the festival , but music by many other composers can be heard as well .
Aldeburgh_Festival	Most of the concerts take place in the Maltings , a concert hall in the village of Snape , not far away from Aldeburgh .
Aldeburgh_Festival	The Festival was started in 1948 by the Benjamin Britten , Peter Pears and the librettist Eric Crozier .
Aldeburgh_Festival	They started the festival so that the English Opera Group would have a place to perform their operas , but soon the festival became bigger .
Aldeburgh_Festival	There were poetry readings , drama performances , lectures and art exhibitions .
Aldeburgh_Festival	The first festival was mostly held in Aldeburgh Jubilee Hall , a few doors away from Britten 's house in Crabbe Street .
Aldeburgh_Festival	His opera Albert Herring was performed , as well as his St Nicolas Cantata .
Aldeburgh_Festival	Over the years the festival grew .
Aldeburgh_Festival	Some of the performances took place in the church , or in churches or other halls in nearby villages and small towns such as Orford and Framlingham .
Aldeburgh_Festival	However , the festival needed a large concert hall .
Aldeburgh_Festival	In the 1960s the old malthouse ( where barley used to be made ) in Snape was changed into a concert hall .
Aldeburgh_Festival	It was opened by the Queen on 2 June 1967 , at the start of the twentieth Aldeburgh Festival .
Aldeburgh_Festival	Two years later , on the first night of the 1969 Festival , the concert hall was destroyed by fire .
Aldeburgh_Festival	Only the main walls remained .
Aldeburgh_Festival	For that year the Festival was moved to other local places , but by the next year the hall had been rebuilt and once again it was opened by the Queen , this time at the start of the 1970 Festival .
Aldeburgh_Festival	The festival is now organized by Aldeburgh Music , which also runs the Britten-Pears Young Artist Programme which gives young musicians a chance to learn from famous music teachers and perform in concerts .
Aldeburgh_Festival	The festival has a nice atmosphere because it is in the country near the sea and marshes .
Aldeburgh_Festival	New music is often performed .
Aldeburgh_Festival	In the past there have been first performances of several works by Britten : ( A Midsummer Night 's Dream in 1960 ; Death in Venice in 1973 ) and also Harrison Birtwistle 's Punch and Judy in 1968 .
Aldeburgh_Festival	The Festival 's Artistic Director is now the composer Thomas Adès , who was appointed in 1999 .
Adolf_von_Henselt	Adolf von Henselt ( born Schwabach , Bavaria , May 9 1814 ; died Warmbrunn ( now Cieplice ) , Silesia , October 10 1889 was a German pianist and composer .
Adolf_von_Henselt	He had piano lessons from Hummel in Weimar .
Adolf_von_Henselt	When he was a young man he played in concerts all over Germany .
Adolf_von_Henselt	Then he went to Russia where he was very successful and he settled there to live .
Adolf_von_Henselt	He became pianist at the court of the tsar and taught the tsar 's children how to play the piano .
Adolf_von_Henselt	Henselt was known for his beautiful playing of the music of Chopin .
Adolf_von_Henselt	He was very good at playing widely spaced arpeggios and could make them sound very smooth ( legato ) even if he was not using the pedal .
Adolf_von_Henselt	As a composer he is mostly remembered today for a few of his short works which are often quite sentimental , e.g. Frühlingslied ( Spring Song ) and Si oiseau j' étais ( If I were a bird ) .
Aquarius_(sports_drink)	Aquarius is a mineral sports drink manufactured by The Coca-Cola Company .
Aquarius_(sports_drink)	It was first introduced in 1983 in Japan as a sports drink .
Aquarius_(sports_drink)	It was introduced to Spain and Portugal in 1991 , and it became the official drink of the 1992 Summer Olympics in Barcelona .
Aquarius_(sports_drink)	Aquarius is available in Argentina , Belgium , Brazil , Iceland , Indonesia , Ireland , Italy , Japan , Luxembourg , Morocco , and Portugal .
Aquarius_(sports_drink)	Flavors include carrot orange , citrus , honey lemon , lemon , orange , watermelon , and Coca-cola .
Aquarius_(sports_drink)	This drink is known to be created for sports people after doing exercise , but also it is great for any other kind of people , as it 's refreshing .
Aspen	Aspens are a type of poplar tree with leaves that move with the slightest wind .
Aspen	The two main species are both called ` trembling aspens ' or ` quaking aspens ' on account of their leaves .
Aspen	Populus tremuloides is the American aspen .
Aspen	It is common in temperate and colder regions of North America .
Aspen	It forms large stands ( groups ) of genetically identical trees ( clones ) connected by a single underground root system .
Aspen	These trees form through root sprouts coming off an original parent tree .
Aspen	The largest known fully connected aspen is a grove in Utah nicknamed ` Pando ' , and some experts call it the largest organism in the world , by mass or volume .
Aspen	It covers 0.43 km2 ( 106 acres ) and is estimated to weigh 6,600 short tons ( 6,000 t ) .
Aspen	Populus tremula is a species of poplar native to cool temperate regions of Europe and Asia , from the British Isles east to Kamchatka , north to inside the Arctic Circle in Scandinavia and northern Russia , and south to central Spain , Turkey , the Tian Shan mountain system , North Korea , and northern Japan .
Aspen	It also occurs at one site in northwest Africa in Algeria .
Aspen	In the south of its range , it occurs at high altitudes in mountains .
Aspen	It is a hardy species which tolerates long , cold winters and short summers .
Aspen	Aspen is dioecious , so individual trees are either male or female ( in contrast to most trees , where male and female flowers occur on the same tree ) .
Aspen	Trees flower in March and April , before the leaves appear , with both the male and female trees producing catkins .
Aspen	Pollinated female catkins ripen in early summer and release tiny seeds which are tufted with hairs .
Aspen	Like other aspens , its main method of reproduction is vegetative ( asexual ) .
Aspen	It spreads extensively by root sprouts , which may be produced up to 40 metres from the parent tree .
Aspen	They form extensive clonal colonies .
Aspen	Large numbers of new shoots can be produced in this way , especially after a major disturbance such as fire .
A.C.F._Fiorentina	ACF Fiorentina ( Associazione Calcio Fiorentina e Florentia Viola ) , often called just and friendly Fiorentina , is an Italian professional football club from Florence , Tuscany .
A.C.F._Fiorentina	Founded in 1926 .
A.C.F._Fiorentina	Fiorentina have won Serie A twice , first in 1955\/56 then again in 1968\/69 , as well as winning six Coppa Italia trophies .
A.C.F._Fiorentina	On the European stage Fiorentina have won the UEFA Cup Winners ' Cup in 1960\/61 , they finished runners-up in the UEFA Cup 1989\/90 and they also came close to winning the biggest European prize , finishing as runners-up in the European Cup during 1956\/57 .
A.C.F._Fiorentina	1926-2002 AC Fiorentina .
A.C.F._Fiorentina	2002-2003 Florentia Viola .
A.C.F._Fiorentina	2003-present ACF Fiorentina .
A.C.F._Fiorentina	Fiorentina is known by the nickname La viola ; a reference to their distinctive purple colors .
Aegyptosaurus	Aegyptosaurus , meaning `` Egypt 's Lizard '' after the country where it was discovered ( comes from the Greek word sauros , which means ` lizard ' ) , is a genus of sauropod dinosaur that lived in Africa around 95 million years ago , during the Late Cretaceous period .
Aegyptosaurus	Like most sauropods , it had a long neck and a small skull .
Aegyptosaurus	The animal 's long tail probably acted as a counterweight to its body mass .
Aegyptosaurus	Its tail also ended in a whip-like structure that it used to defend itself against predatory dinosaurs that lived in the same place and time as it , such as Carcharodontosaurus and Spinosaurus .
Aegyptosaurus	Aegyptosaurus was a close relative of Argentinosaurus , a much larger dinosaur that lived in South America at about the same time .
Aegyptosaurus	This suggests a possible land bridge between Africa and South America during the Cretaceous period .
Aegyptosaurus	Aegyptosaurus was discovered and named by a German paleontologist named Ernst Stromer in 1932 .
Aegyptosaurus	Its fossils have been found in Egypt , Niger , and in several different locations in the Sahara Desert .
Aegyptosaurus	All known specimens were discovered before 1939 .
Aegyptosaurus	The fossils were stored together in Munich , but were obliterated when an Allied bombing raid destroyed the museum where they were kept in 1944 , during World War II .
Aegyptosaurus	The type species is Aegyptosaurus baharijensis , named after the Bahariya Formation in Egypt , where the first fossils were found .
Aegyptosaurus	Aegyptosaurus was much smaller and more common than its contemporary , Paralititan .
Aegyptosaurus	Predators probably hunted the smaller Aegyptosaurus more often than the huge Paralititan .
Advaita_Vedanta	Advaita Vedanta is a type of Hinduism .
Advaita_Vedanta	People who believe in Advaita believe that their soul is never really different from God .
Advaita_Vedanta	The Sanskrit word for soul is Atman and the Sanskrit word for God is Brahman .
Advaita_Vedanta	The most famous Hindu philosopher was named Adi Shankara who lived in India more than a thousand years ago .
Advaita_Vedanta	Adi Sankara learned the sacred texts of Hinduism , like Vedas and Upanishads under his teacher Govinda Bhagavadpada and later wrote extensive commentaries of Hindu sacred texts called Upanishads .
Advaita_Vedanta	In these commentaries , he proposed the theory of Advaita , saying that the Upanishad actually teach that the individual soul ( called Atman ) is not different from God ( called Brahman ) .
Advaita_Vedanta	He also taught that there is only one essential principle called Brahman ( means God ) and everything else is a kind of expression of that one Brahman .
Advaita_Vedanta	Because of this theory of one being , his teachings became popular as the `` Advaita '' ( a = not , dvaita = two , means no-two or non-dual ) .
Advaita_Vedanta	The way he said this to people was `` Atman is Brahman . ''
Advaita_Vedanta	Adi Shankara was very smart and knew that people would wonder how he could say such an odd thing .
